X,Y,dis_to_goal,angle_to_goal,t,trajectory_id
43.9200293302625,18.6900519412422,18.4967709701146,-4.16200877886297e-05,11674.828,8
43.9200296068494,18.6900524661355,18.496771104289,-4.20037809663043e-05,11674.931,8
43.9200298807767,18.6900529859817,18.4967712371734,-4.238378484267e-05,11675.034,8
43.9200301573631,18.6900535108752,18.4967713713484,-4.27674780993925e-05,11675.138,8
43.9200304339493,18.6900540357688,18.4967715055236,-4.31511713916422e-05,11675.242,8
43.9200307052163,18.6900545505683,18.4967716371187,-4.35274858787693e-05,11675.345,8
43.9200309791427,18.690055070415,18.4967717700042,-4.39074898279657e-05,11675.447,8
43.9200312504095,18.6900555852148,18.4967719015997,-4.42838042964411e-05,11675.55,8
43.9200315243354,18.6900561050617,18.4967720344856,-4.46638084703466e-05,11675.653,8
43.9200318009205,18.6900566299558,18.4967721686621,-4.50475016577911e-05,11675.756,8
43.9200320748461,18.6900571498029,18.4967723015485,-4.54275054853071e-05,11675.86,8
43.9200323487716,18.6900576696501,18.496772434435,-4.5807509432727e-05,11675.962,8
43.9200326226967,18.6900581894975,18.496772567322,-4.61875136252843e-05,11676.065,8
43.9200328992811,18.690058714392,18.4967727014994,-4.65712069370738e-05,11676.169,8
43.9200331705464,18.6900592291925,18.4967728330966,-4.69475215663096e-05,11676.272,8
43.9200334444709,18.6900597490401,18.4967729659842,-4.73275256727135e-05,11676.375,8
43.9200337183953,18.6900602688879,18.496773098872,-4.77075295686191e-05,11676.478,8
43.9200339923195,18.6900607887358,18.4967732317601,-4.80875339512465e-05,11676.581,8
43.9200342689028,18.6900613136308,18.4967733659387,-4.84712272044163e-05,11676.684,8
43.9200345401671,18.6900618284318,18.4967734975371,-4.88475417395051e-05,11676.786,8
43.9200348140908,18.69006234828,18.4967736304258,-4.92275457784075e-05,11676.89,8
43.9200350906735,18.6900628731753,18.496773764605,-4.961123974212e-05,11676.993,8
43.9221063262453,18.6900589009759,18.4952046443221,0.005392693383372,11677.096,8
43.9470885845147,18.6896715229371,18.4760641414687,0.028858450726423,11677.198,8
43.9782678273643,18.6884366438872,18.4517026465366,0.058946754212121,11677.302,8
44.0087970360173,18.6862569232279,18.4272318973464,0.093088577406991,11677.404,8
44.0392302304958,18.6829945467799,18.4021403947215,0.130669442772942,11677.506,8
44.0392302304958,18.6829945467799,18.4021403947215,0.130669442772942,11677.506,8
44.0694993303852,18.6783922244357,18.3763077182933,0.170818965311244,11677.609,8
44.0998326433489,18.6724290909914,18.3495453665083,0.213242294135035,11677.712,8
44.1299335623981,18.6653994658096,18.3222679623347,0.257110786801871,11677.815,8
44.1596966952671,18.6570525799779,18.2943870883968,0.302045913588397,11677.917,8
44.1890566621759,18.6473805734373,18.2659440591633,0.347766479411465,11678.02,8
44.2176818464998,18.636531936191,18.2372834629048,0.393626390844953,11678.123,8
44.2460717839092,18.6243051639425,18.2078948556217,0.440369346930467,11678.226,8
44.2740285574883,18.6107558535573,18.1779616148738,0.487891165361627,11678.329,8
44.2937524475978,18.6002524231787,18.1562209910754,0.520504932494646,11678.431,8
44.2946151234739,18.5997621945279,18.1552497450475,0.532561438250524,11678.533,8
44.2946203834091,18.5997589337276,18.15524364337,0.528920366739844,11678.636,8
44.2946266087268,18.5997532766245,18.1552352325488,0.513595678615796,11678.739,8
44.2946259592014,18.5997483042601,18.1552324304188,0.489627781277096,11678.842,8
44.2946208831141,18.5997423288439,18.1552322844341,0.459871773599121,11678.945,8
44.2946128120692,18.599734513529,18.1552331674016,0.425178984525628,11679.048,8
44.2946413016018,18.5997089897992,18.1551949178661,0.388182880677256,11679.151,8
44.3076558315673,18.5955419257181,18.1426790691637,0.349304884112164,11679.253,8
44.3368620672594,18.5855514999927,18.1141748122894,0.311270220109084,11679.356,8
44.366679297499,18.5763722046822,18.0857583274788,0.275711958974624,11679.46,8
44.3961929049731,18.5682165885029,18.0582572482143,0.259663888865663,11679.563,8
44.4260754725854,18.5602737338953,18.030631545384,0.260523611180003,11679.665,8
44.4555772529936,18.5522576994653,18.0032525040222,0.273738399664465,11679.768,8
44.4852108625777,18.5436745645854,17.9754081728418,0.296076133799288,11679.871,8
44.5146364986431,18.5343561254339,17.9472395254723,0.324984083879974,11679.974,8
44.5437664249796,18.5241520123993,17.9187104512869,0.358174447780134,11680.076,8
44.5722856743302,18.5131056916975,17.8900830844512,0.39342046281092,11680.179,8
44.6006480088814,18.500926250234,17.8608234569968,0.424031640347883,11680.281,8
44.6277514142662,18.4885205966798,17.8323559823945,0.436603955428899,11680.384,8
44.6352212852444,18.485035056633,17.8244665817593,0.433183489412181,11680.486,8
44.6352384823433,18.4850253094157,17.8244472694751,0.418178970889592,11680.59,8
44.6352476562603,18.4850163635643,17.8244344672443,0.394669653919278,11680.692,8
44.637123427004,18.4843973296961,17.8226243959376,0.364924599806319,11680.796,8
44.6605508790999,18.4761940161717,17.7997053401846,0.33578489439214,11680.899,8
44.689810341465,18.4662197784277,17.7712692521709,0.320269754089332,11681.001,8
44.7191446759743,18.4565181909501,17.7429681326301,0.321016523777209,11681.104,8
44.7481252288949,18.4467681975112,17.7149061408681,0.333281053234038,11681.206,8
44.7769612755962,18.4365610568169,17.686653584259,0.354128209928085,11681.308,8
44.7769612755962,18.4365610568169,17.686653584259,0.354128209928085,11681.308,8
44.8040916708368,18.42626187511,17.6596129150277,0.379514672263256,11681.412,8
44.8243712758535,18.4179965996234,17.639024425033,0.404907359783356,11681.515,8
44.8255874740058,18.4174802654364,17.6377759533248,0.421210795209142,11681.618,8
