X,Y,dis_to_goal,angle_to_goal,t,trajectory_id
47.82929722064505,19.36561428841856,16.27380990954911,0.0229163921813926,7147.669,25
47.86020516954596,19.365214051017745,16.254367726354108,-0.0037601430895319,7147.771,25
47.89142586746699,19.36543654057369,16.23525812702973,-0.0121266712381071,7147.875,25
47.92201945249291,19.36575109453809,16.21664488872378,-0.005792499843757,7147.978,25
47.95290914557072,19.365751385637424,16.19763815347706,0.0111590198409166,7148.08,25
47.98349443303532,19.36515042262819,16.17838005153044,0.0333551979818245,7148.183,25
48.01435809894174,19.36390142307964,16.158474129710882,0.04980883178305,7148.286,25
48.04523917736442,19.36233834961264,16.138343564467558,0.0496565093785026,7148.388,25
48.07641839249144,19.360910452969065,16.118172384897893,0.0367459667643923,7148.492,25
48.10700809930578,19.36000297685868,16.098808224028755,0.0151005831269399,7148.594,25
48.13790825540354,19.35983040980783,16.079873934831177,-0.0120649451444112,7148.698,25
48.16881096832141,19.36050056024525,16.061645255393966,-0.0346361216569022,7148.801,25
48.19970809937705,19.361678777670075,16.043863237864247,-0.0401198444192392,7148.903,25
48.23029879462528,19.362848927924,16.026299796300517,-0.0318235441750784,7149.006,25
48.26117859407253,19.36366109501879,16.008315723207133,-0.0158398798099472,7149.109,25
48.29235738313097,19.36397288637784,15.989791518582456,-0.0028900113458751,7149.212,25
48.32294235381262,19.36395821808404,15.97140203202826,0.0083399653393079,7149.314,25
48.35352852205087,19.36351191228544,15.952703648038888,0.026759018857581,7149.416,25
48.38439999719646,19.36245602182725,15.93338282484049,0.0451986320818669,7149.519,25
48.414953806754525,19.360947014558736,15.913924401621744,0.0520707610517163,7149.621,25
48.44582016827752,19.35938251036812,15.894270338184064,0.0447613334272385,7149.724,25
48.47670512420809,19.35816315941061,15.874918666845897,0.0282698030452408,7149.827,25
48.50760628306165,19.35750478595783,15.856045726087505,0.008536465285434,7149.93,25
48.5382011388909,19.357482693245817,15.837904792472306,-0.0142941901421931,7150.032,25
48.56938906263685,19.35822977602336,15.82007282842015,-0.0423978640935613,7150.137,25
48.600269654292205,19.35976623209753,15.80310123780174,-0.0581493242994959,7150.239,25
48.63084314013503,19.3615668898968,15.786566214762708,-0.05717676287325,7150.341,25
48.6613934318824,19.363204313028568,15.769954720106195,-0.0455993359452513,7150.444,25
48.69226233540462,19.36439073758302,15.752832963303682,-0.0249441732614634,7150.546,25
48.72285331390635,19.36486712501172,15.735339026964324,0.0008710501660837,7150.648,25
48.75373818967004,19.36459861516199,15.717108516448103,0.0213618238345603,7150.751,25
48.78429909261086,19.36382253295541,15.69869291229567,0.0315450196821345,7150.854,25
48.81516319020726,19.362676541191625,15.67983809299917,0.0469082887090479,7150.956,25
48.81516319020726,19.362676541191625,15.67983809299917,0.0469082887090479,7150.956,25
48.846345994501085,19.361157384596684,15.660532713593584,0.0515313460609325,7151.06,25
48.87721899505767,19.35953598673133,15.641361257885244,0.0546668698418391,7151.163,25
48.907712599195214,19.35770778085864,15.622277056309258,0.0690720130831983,7151.266,25
48.93847333653824,19.355316152392785,15.60261475342339,0.0923551669618985,7151.368,25
48.969459065361455,19.35209401685521,15.582179433538782,0.1223193432111755,7151.473,25
48.99998610388731,19.34768217646868,15.561066870388666,0.1568230756551285,7151.576,25
49.030299020150586,19.34204778015876,15.539105897026074,0.1948841314586622,7151.679,25
49.06042004047402,19.33535264695313,15.516413231002804,0.2354572764976001,7151.781,25
