X,Y,dis_to_goal,angle_to_goal,t
43.94808874286827,18.766347755014834,18.52561498582642,-0.12892383534697682,6915.162
43.94808894788802,18.76634830535339,18.525615193033914,-0.12892422640593715,6915.265
43.94808915290753,18.766348855692012,18.525615400241648,-0.12892461746517192,6915.368
43.94808935991733,18.76634941137376,18.525615609461283,-0.1289250123208978,6915.472
43.94808956692697,18.766349967055632,18.52561581868115,-0.12892540717663614,6915.575
43.94808976995547,18.76635051205136,18.52561602387773,-0.12892579443920127,6915.678
43.94808997497399,18.76635106239029,18.52561623108648,-0.12892618549825574,6915.781
43.948090179992484,18.766351612729274,18.5256164382953,-0.1289265765573271,6915.883
43.94809038501091,18.766352163068397,18.52561664550428,-0.12892696761641087,6915.986
43.94809059201936,18.766352718750667,18.525616854725378,-0.1289273624722398,6916.09
43.94809079504676,18.766353263746822,18.525617059923153,-0.1289277497346646,6916.193
43.94809100404526,18.7663538247723,18.525617271156413,-0.1289281483871889,6916.298
43.94809121105316,18.766354380454782,18.525617480378116,-0.12892854324301695,6916.401
43.94809141408,18.766354925451182,18.525617685576528,-0.1289289305055048,6916.504
43.94809161909693,18.766355475790785,18.525617892787047,-0.12892932156449088,6916.606
43.94809182610407,18.76635603147349,18.52561810200952,-0.1289297164204104,6916.71
43.948092031120744,18.766356581813206,18.525618309220338,-0.12893010747966294,6916.813
43.94809223613717,18.766357132153015,18.525618516431418,-0.12893049853859928,6916.916
43.94809244314368,18.766357687836006,18.525618725654606,-0.12893089339455877,6917.02
43.94809264616915,18.7663582328328,18.525618930854403,-0.12893128065690185,6917.122
43.948092851184875,18.766358783172805,18.52561913806619,-0.1289316717161606,6917.226
43.95099338673212,18.766740266594255,18.523684005870813,-0.13578592986264493,6917.329
43.97695614355736,18.77053297194652,18.506622992491913,-0.15965661817220678,6917.431
44.00799756190107,18.77586575050462,18.48677894816266,-0.19040894137002518,6917.537
44.03855695227147,18.78213793860684,18.4679495272321,-0.22555326739848702,6917.641
44.06887902628869,18.789483549620968,18.450041427768763,-0.2641463145014198,6917.745
44.09890433129436,18.797966896807562,18.433144585872725,-0.3052977191552726,6917.848
44.12855053199657,18.80769721092946,18.4173959770942,-0.34833388613541594,6917.952
44.12855053199657,18.80769721092946,18.4173959770942,-0.34833388613541594,6917.952
44.15747179207802,18.818595829771965,18.403004865445368,-0.39232508278540834,6918.056
44.18589779568437,18.83073443262043,18.389849394827586,-0.4238856270293656,6918.159
44.21401367099555,18.843615849838052,18.37746290758545,-0.4354362284645923,6918.262
44.2420249207942,18.856631715351146,18.3652878116802,-0.43145724652280926,6918.365
44.27013831650409,18.8694109799297,18.352922403773135,-0.4163880376300746,6918.468
44.298486631098925,18.881678204648487,18.340083131720075,-0.393721803341359,6918.571
44.32713452627377,18.89323850431568,18.32659030402055,-0.3657094454492569,6918.673
44.356397178505254,18.904045770606054,18.31217826156711,-0.33348866550540723,6918.777
44.38542879465814,18.91370168824091,18.29720332698727,-0.30012019312279214,6918.88
44.41500548565687,18.922583468903948,18.28134272857533,-0.27876159734347716,6918.983
44.44502903465452,18.931107619420672,18.264949503672867,-0.2739694437316853,6919.086
44.47476965813399,18.939573777778975,18.248763980933152,-0.28342413231967,6919.189
44.504096056915344,18.948336545063736,18.233122132324745,-0.3027841143877339,6919.292
44.533504229969424,18.957832787976397,18.217956168489096,-0.3296156577895033,6919.394
44.56291183263892,18.968270837817187,18.203470863592624,-0.36075180362269066,6919.498
44.591487545210654,18.979241973275712,18.189999743836047,-0.3764749336090647,6919.6
44.619928946094,18.990486245302975,18.176854726212078,-0.37588294554738155,6919.703
44.64867687850314,19.001682163161874,18.163494846865177,-0.3627934618258184,6919.804
44.67736715616704,19.01231960035907,18.14983736106613,-0.3409897715672603,6919.907
44.706311386154,19.022260768521345,18.135559016140675,-0.31274134815258314,6920.01
44.73582830347852,19.031413748830595,18.12036357138064,-0.28143699709300307,6920.112
44.76530418779559,19.03961350634196,18.10458241586025,-0.25717997252087876,6920.214
44.7952030178046,19.047368818197192,18.088226495618446,-0.250745985355449,6920.318
44.82539857443636,19.055167933886864,18.071723937850066,-0.25879351007879414,6920.421
44.85493309252629,19.063167016321984,18.055876256102273,-0.2767188205659803,6920.524
44.884577580941304,19.071858598008298,18.0404662704596,-0.30200518931753884,6920.626
44.91368909874651,19.081253463340534,18.025967661333944,-0.3308730097409889,6920.728
44.942521807459876,19.091486085060872,18.012291498001417,-0.3559132606072115,6920.831
44.97141952957994,19.102425297141995,17.999101405517283,-0.3680006221306513,6920.933
44.99995565390382,19.113423309825535,17.986255208220847,-0.36426970610087395,6921.035
45.02886927802663,19.124295170052278,17.973093336611868,-0.349028834211774,6921.138
45.05770222198737,19.134530741983212,17.959588238912108,-0.3255905093844005,6921.24
45.08708027301738,19.14410406537067,17.945272335877114,-0.2957119735494098,6921.344
45.11701576764016,19.15281627492231,17.929997164719804,-0.2608408900880921,6921.447
45.1466405044526,19.160339756542673,17.914150474066506,-0.23056673319134013,6921.55
45.17669590380823,19.167133689224197,17.897522874484956,-0.2119883819776387,6921.652
45.17669590380823,19.167133689224197,17.897522874484956,-0.2119883819776387,6921.652
45.2066295749425,19.173480806296816,17.880704945797465,-0.20652323126380523,6921.755
45.236887650054186,19.179862138273702,17.863717566483373,-0.21310395301417362,6921.857
45.266779855733006,19.186488849774435,17.847199975315185,-0.22921704155382905,6921.96
45.296833823731426,19.19373163501228,17.83104069081709,-0.2500937401683494,6922.062
45.32676864094866,19.20153932110628,17.815404443436666,-0.260501306625315,6922.165
